Aff,Neg,Judge,Win,Aff Points,Neg Points
Shipley Independent DM,Ridge AM,Ming Zhao,Aff,29.1,29.0
Ridge AB,University AH,Andrei Nemoianu,Neg,29.0,29.2
ModernBrain ML,Clark Advanced Learning Center MG,Victor Wildman,Neg,27.0,29.0
Cary Acad RP,Westridge YW,Sai Karavadi,Aff,30.0,28.9
Apple Valley ZC,Edgemont AG,Albert Cai,Neg,28.7,28.9
Bronx Science CL,Edgemont YA,Aarnav Agrawal,Neg,29.1,29.2
Walpole SP,Northern Valley AC,Mike Guffin,Neg,28.0,28.5
Park City MS,Harrison GC,Michael Reichle,Aff,29.5,29.0
Mountain Brook SW,Harrison FW,Gopal Kumar,Neg,28.3,28.5
Arlington LC,Strake Jesuit DV,Rob Sosa,Neg,28.0,27.5
Harrison AG,Equality Independent VM,Danielle Sack,Aff,28.5,28.0
Walnut Grove Secondary JY,Marlborough CS,Dan Bagwell,Neg,28.4,28.5
BASIS Chandler WI,Harker SD,Chelsea Hodgson,Aff,29.8,29.6
BASIS Silicon Valley JK,St Andrew's Episcopal MK,Amanda Ciocca,Aff,29.5,29.1
Homestead Independent NK,Equality Independent SJ,Jyoti Balaji,Aff,29.0,28.5
Iowa City West VDu,Cary Acad LM,Davis Liang,Neg,28.7,29.3
Lexington OO,Trinity Prep SH,Shringar Kala,Aff,28.8,28.6
University NM,Lassiter HA,Nicholas Aranda,Aff,28.0,27.0
Sandy Independent OS,Montgomery Blair OR,Manisha Singhal,Aff,29.1,28.9
Harker AS,Research Triangle KP,Jerry Li,Neg,28.8,28.9
Archbishop Mitty AG,Phillips Exeter Independent GK,Chigozie Chinaka,Neg,26.0,28.0
Leland AK,Basis Scottsdale Independent AV,Jiya Bastawade,Neg,28.5,29.0
Papaya Valley AA,Eagan NL,Paul Aldrich,Aff,29.7,29.6
Bronx Science SF,Lexington SD,Aj Lozano,Neg,28.5,30.0
Eagan EM,Mountain Brook JB,Akshay Agarwal,Aff,30.0,29.9
Harker LK,Chaminade OS,Chris Li,Aff,29.6,29.5
RFS Independent RA,American Heritage Palm Beach NI,Suli Liu,Neg,28.3,28.4
Lexington RI,Notre Dame San Jose TB,Stavan Shah,Neg,28.1,28.3
Hawken EB,Strake Jesuit NF,Max Mao,Neg,29.0,29.5
RFS Independent EE,Harvard-Westlake EY,Isaac Love,Neg,25.0,30.0
Clark Advanced Learning Center EL,Newark Science AC,Alexander MacDonald,Neg,23.0,24.0
Marlborough MF,Emerald AW,Jennifer Campbell,Neg,28.3,28.5
Valley Christian EM,West Des Moines Valley JC,David Itopa,Aff,28.9,28.7
Strake Jesuit EX,Harker EX,Jeffrey He,Neg,29.5,29.6
American Heritage Palm Beach CR,Valley Christian AK,Leyi Han,Neg,28.0,28.4
Millburn AK,"Russellville HS - Russellville, AR MM",Nathan Johnston,Neg,29.0,29.1
Honor LC,Thousand Oaks BJ,Shriya Narasimhan,Aff,29.0,28.5
John Cooper TX,Flintridge Prep CX,Tejas Rajagopalan,Neg,28.5,29.5
Pinewood CA,Harrison JB,Mason Kim,Neg,28.8,28.9
Needham Independent DC,Sid Batchu Independent SB,Shivani Chadha,Aff,29.0,28.5
Bronx Science ZY,Bellevue Youth EL,Esther Jonathan,Aff,30.0,29.0
Archbishop Mitty YS,RFS Independent JM,Brixz Gonzaba,Aff,28.5,28.0
Harker BF,Cary Acad TB,Christian Nunez,Neg,24.0,25.0
LAMP JL,Myers Park IL,Eva Lamberson,Aff,28.5,28.3
Boston Latin AH,Gunn HS Independent IT,Hak Soo Choi,Neg,28.0,29.0
Trinity Prep GP,Milpitas AM,Hetal Patel,Aff,28.5,28.4
Mission San Jose SL,Independent Hamilton GJ,Aanya Ujjval,Neg,29.2,29.3
Pingry SH,Strath Haven NS,Joshua Mitchell,Neg,29.0,29.2
University SS,Able2Shine AF,Charles Fu,Aff,29.0,28.5
Jericho Unaffiliated YG,Lake Highland Prep ZM,Siv Ben,Neg,27.5,28.5
West Des Moines Valley KH,Able2Shine JX,Ivelisse Tirado,Neg,27.8,28.0
Memorial AW,West HS SLC LM,Tim Do,Aff,30.0,29.9
Colorado HJ,Harker OH,Jeff Harkleroad,Aff,29.8,28.2
Edgemont SS,Jericho Unaffiliated AL,Nikoo Tahmasebi,Aff,28.8,28.0
Memorial ES,Sharks Independent KZ,Bo Zeng,Neg,28.2,28.5
Millard North LT,Northwood NC,Dustin Jackson,Aff,29.2,29.1
Phillips Exeter Independent AD,LAMP RK,John Kinghorn,Aff,29.1,27.3
Oxbridge CC,Trinity Prep CM,Sesh J,Aff,28.8,28.7
Newark Science EM,Eagan ML,Noah Darby,Neg,26.5,27.5
Iowa City West AA,Scarsdale AR,Ning Zhuang,Neg,28.0,28.5
Harker MS,Millburn SB,Renee Powell,Neg,28.0,28.5
