Aff,Neg,Judge,Win,Aff Points,Neg Points
Edgemont AG,Strath Haven NS,Drew Benthein,Neg,29.7,29.9
Iowa City West VD,University AH,Akshay Agarwal,Neg,29.9,30.0
Bellevue Youth CS,Trinity Prep CM,Isaac Love,Aff,27.1,26.2
Equality Independent SJ,Sage Hill SC,Rajashekhar Veeranagoudar,Aff,29.0,27.0
Honor AS,Harrison OG,Andrei Nemoianu,Aff,28.1,27.9
Lassiter HA,Edgemont SS,Chelsea Hodgson,Neg,28.5,29.2
Eagan NL,Cary Acad RP,Leyi Han,Neg,28.9,29.4
Phillips Exeter Independent JM,Strake Jesuit NF,Katie Wang,Aff,29.8,29.7
Papaya Valley AA,Bronx Science AM,Noah Darby,Aff,29.5,29.0
Independent Hamilton GJ,Holy Trinity Episcopal SP,Nikoo Tahmasebi,Aff,28.8,28.5
Walpole SP,Ardsley NN,Jeffrey He,Neg,29.3,29.7
West Des Moines Valley KH,Clark Advanced Learning Center EL,Ryan Curran,Aff,28.6,28.4
Lexington RC,Ridge AM,Alexander MacDonald,Neg,26.0,27.0
Harrison AG,Harker AS,Jon Joey Telebrico,Neg,29.2,29.5
Harker EX,Brophy AP,Christian Nunez,Neg,26.5,27.0
Scarsdale AR,Danville Area DN,Jenny Liu,Neg,28.8,28.9
Harrison FW,Fulton Science AK,Andrew Zhang,Neg,29.0,29.3
Harrison JB,Bronx Science LS,Bo Zeng,Neg,28.0,28.4
Mission San Jose AB,Archbishop Mitty YS,Martin Saenz,Neg,28.4,29.1
Sierra Canyon RZ,Lexington KZ,Jacob Nails,Neg,28.4,28.5
Lake Highland Prep AB,Millard North LT,Jad Vicente,Neg,28.5,28.6
Sandy Independent OS,Bronx Science SF,Anna Jaubert,Aff,29.4,29.2
Apple Valley ZC,John Cooper RR,Paul Aldrich,Aff,28.6,28.4
Laurel CW,Dougherty Valley VV,Stavan Shah,Aff,29.9,29.0
Marlborough MF,Canyon Crest JY,Martin Klein,Aff,27.8,27.3
Newark Science SR,Harker AA,Deena McNamara,Aff,30.0,29.0
Sharks Independent JF,Leland SS,Sam Anderson,Neg,28.5,29.1
Mission San Jose SL,West Des Moines Valley JC,Ella Jewell,Aff,28.0,26.5
Oxbridge CC,American Heritage Palm Beach CR,Cyrus Jackson,Neg,28.9,29.0
Phillips Exeter Independent AD,Clark Advanced Learning Center MG,Amolika Desai,Aff,29.0,28.0
Emerald AW,BASIS Chandler WI,Saied Beckford,Neg,28.8,29.5
Harker MS,Harrison GC,Conal Thomas-McGinnis,Neg,27.0,27.5
RFS Independent EE,Ridge AB,Aj Lozano,Aff,30.0,28.5
Harker OH,Northern Valley AC,Rik Roy,Neg,28.4,29.6
Walnut Grove Secondary JY,Head-Royce EA,Sisi Holden,Aff,27.2,27.0
Bellevue Youth EL,Newark Science NB,Aarnav Agrawal,Aff,28.9,28.8
Leland AK,Mountain Brook JB,James Wayne,Neg,27.5,28.5
Strake Jesuit DV,West HS SLC LM,Daniel Zakari,Neg,28.0,29.0
Thousand Oaks BJ,Lake Highland Prep AM,Sharvay Srivastava,Neg,27.6,29.3
Millburn AK,Boston Latin AH,Greg Paley,Aff,28.9,28.7
BASIS Phoenix VN,University AN,Tim Do,Aff,28.0,27.9
Gunn HS Independent IT,Memorial ES,Eva Lamberson,Neg,28.4,29.8
Flintridge Prep ED,RFS Independent EW,Michael Stewart,Neg,29.9,30.0
Valley Christian GL,Millard North AJ,Madison Arenaz,Neg,26.2,28.9
Harrison SE,Strake Jesuit EX,Brixz Gonzaba,Aff,29.3,28.6
Dougherty Valley NM,Valley Christian AK,Israel Dominguez,Aff,28.1,27.9
Sunny Hills Independent JK,Harvard-Westlake EY,Chen Chen,Neg,28.8,28.9
Harrison JA,American Heritage Palm Beach NI,Rahul Kissoon,Neg,28.2,28.9
Harker LK,Eagan ML,Cristina Politano,Aff,29.9,30.0
James Logan AJ,ModernBrain ML,Evelyn Asay,Aff,28.2,28.0
Trinity Prep GP,Pacific Collegiate JX,Patrick Liu,Aff,29.7,27.0
University KB,Marlborough CS,Gloria Jonathan,Aff,29.5,27.6
University AA,Montgomery Blair OR,Mitesh Vasa,Neg,29.3,29.5
Lincoln-Sudbury AP,Homestead Independent NK,Paige Tokuhara,Neg,29.3,29.5
Lexington SD,Marvin Ridge AA,Lilia Guizatoullina,Aff,28.1,28.0
Park City MS,Hawken EB,Jiya Bastawade,Neg,28.5,29.0
Ridge SP,Eagan NB,Kalpesh Parekh,Aff,28.9,28.8
Harrison PB,Flintridge Prep CX,Flora Zhu,Neg,28.0,29.6
Monta Vista SC,Basis Scottsdale Independent AV,Aerin Engelstad,Aff,29.3,28.5
LAMP RK,Iowa City West FH,Mike Guffin,Aff,29.0,28.5
Cary Acad TB,Harker SD,Jerry Li,Neg,28.8,29.1
Trinity Prep SH,Needham Independent DC,Sabrina To,Aff,27.9,27.8
Brophy AG,Iowa City West AA,Esther Jonathan,Neg,27.0,28.0
Littleton MK,Lexington EL,Nikita Tanguturi,Aff,28.6,28.3
Cupertino Independent AC,Iowa City West DA,Harshini Sanjay,Aff,29.5,27.0
Valley Christian YN,Able2Shine AF,Victoria Catlett,Aff,30.0,29.0
James Logan EG,Westridge YW,Sapna Todwal,Neg,29.0,29.1
Shipley Independent DM,Harrison KI,Nicholas Aranda,Neg,27.0,28.0
Millburn SK,Harker JA,Michael Jonathan,Neg,27.5,29.1
New York State Independent AS,Research Triangle KP,Jack Booth,Aff,29.4,29.2
Neenah OB,Newark Science EM,Sofia Ishal,Neg,27.5,27.8
Carlsbad AP,Edgemont YA,Albert Cai,Neg,28.0,28.1
Commonwealth JB,BASIS Silicon Valley JK,Alan Fishman,Neg,28.3,29.7
Harker LX,John Cooper KL,Elizabeth Nicaj,Aff,29.1,28.1
Lexington OO,Harker RL,Mitchell Akinjayeju,Neg,29.4,29.5
Cypress AM,Flintridge Prep CK,Ethan Chen,Neg,28.1,29.2
Jericho Unaffiliated LL,Westridge KD,Sameer Wankhede,Aff,29.1,29.0
Eagan EM,Memorial AD,Alicia Mason,Neg,28.5,29.0
Pinewood CA,Mountain Lakes IG,Shuchi Mehta,Neg,28.4,29.1
Jackson County KP,Frazer LD,Tejas Rajagopalan,Neg,28.4,28.0
Colorado HJ,Strath Haven MC,Nick Smith,Neg,28.5,28.4
Newark Science MR,Myers Park IL,Amanda Ciocca,Neg,28.5,29.2
John Cooper TX,Phillips Exeter Independent TH,Neel Kanamangala,Neg,28.9,29.3
Memorial AW,Iowa City West VDu,Naresh Rajanna,Aff,29.0,28.8
Lake Highland Prep ZM,Northwood NC,Aman Jha,Aff,29.0,28.0
American Heritage Broward RN,Mountain Brook WR,Nolan Si,Aff,29.5,29.1
Arlington LC,RFS Independent JM,Renee Ding,Neg,29.5,29.8
