Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash,Aff Win Rate,Neg Win Rate,Aff Elim Win Rate,Neg Elim Win Rate
11,Kansas,Blaser & Falin,1588.966905427979,133.08469610102745,9,1855.136297630034,8bb78e05c4acf9e3fb78e4b5d54a303e44bc7ae571b15eca13e1abb6a49cfa94,60.0,75.0,0.0,
12,Iowa,Eltyeb & Weimar,1587.770581513902,126.58237921408104,10,1840.935339942064,8f0a5eedb91fc91f604ca7bb87cd9025bf5cd2a165a09be5086dd1dfd821e541,80.0,60.0,100.0,0.0
13,Northwestern,Li & Tahirkheli,1583.5389791032644,132.6309557975831,10,1848.8008906984305,072386556a4c58eb15673a8d62c1f4b2777e84bd18eb4572b4dba88db4f00d99,60.0,80.0,100.0,0.0
14,Macalester,Kochel & Schaffhausen,1578.0877301124367,126.9327221326508,10,1831.9531743777384,c88cf86c9320840bbdf4f2b67d0fb31a033c7d24d5ccc5b65e857b1e6f51c8a9,60.0,80.0,100.0,0.0
15,Wake Forest,Leverett & Patel,1557.4817923243577,133.6170459766594,9,1824.7158842776764,ae663754b42264edb37753153d967247675d7844e56f9127aadeefadc4491fb6,75.0,60.0,,0.0
16,Northwestern,Leonard & Peng,1555.2031050868452,134.22602270602457,9,1823.6551504988943,dc6e8603caafa8052c9887d5b36f8c89197941a6bb94e908440a36fa77ed2f70,60.0,75.0,0.0,
17,Kansas,Shaw & Suleman,1544.135757390916,129.18857299071928,10,1802.5129033723547,73aab860d534f982fe0d810a1ef77325aa9a2784429f86fba1211fa630aef85b,60.0,80.0,100.0,0.0
18,Western Kentucky,Ingram & Niendorf,1523.6810705359624,124.20996039498307,11,1772.1009913259286,e949fafa574173561a82e802d5fb8acae771828af63e280add19d803f6323196,100.0,20.0,100.0,0.0
19,Texas,Ali & Gade,1518.4679916421665,140.63622973825173,8,1799.7404511186699,1a7da24d8a31b96e1d332840ce91f2409fbddaeabaeabde0183294dc1283fbe0,50.0,75.0,,
20,CSU Long Beach,Escobar & Medina,1514.6367286645816,133.17407740423764,9,1780.984883473057,dbb326937eff67e3efecb73e313b21006aa58a7be1fd5cbb2d17cabd502bf58e,75.0,60.0,,0.0
